,question_output,sentence_input
0,"WhyFrom a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
1,"Do you know whyFrom a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
2,"WhatFrom a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
3,"HowFrom a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
4,"WhenFrom a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
5,"WhereFrom a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
6,"WhyRapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
7,"Do you know whyRapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
8,"WhatRapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
9,"HowRapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
10,"WhenRapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
