,sentence_input,sentence_ouput
0,"Though previous research has found that weight loss procedures, known as bariatric surgery, can lower blood sugar so much that diabetes essentially disappears, operations are still typically recommended only for extremely obese patients.",research loss surgery lower blood sugar 
1,"If machines could accelerate the speed of effective response, then they could lead to a powerful force against cyber attacks.",accelerate speed response lead force cyber 
2,"Tryptophan can help you catch more shuteye because it contains the calming hormone serotonin, but elk, for example, contains three times as much of the ingredient as turkey.",help catch shuteye hormone serotonin example ingredient turkey 
3,"Blake agreed, noting that protein also helps balance our blood sugar, which helps prevent weight gain and can keep us full longer.",protein balance blood sugar prevent gain keep longer 
4,It is built to provide optimal offset performance.,provide performance 
5,Attacks are also launched against U.S. companies and even home computers and appliances  anything connected to the internet can make Americans vulnerable to all sorts of damage and loss.,home anything internet make damage loss 
6,Its design allows it to evade radar and makes it tough to detect.,design evade radar detect 
7,"To minimize this turbulence and deliver an effective beam, the design harnesses state-of-the-art aerodynamic and flow-control technology.",minimize turbulence deliver beam design technology 
8,"For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.",solo operator carry combat equipment parachutist drop bag model solution 
9,"And of course, there will be newly accessible, significant natural resources like oil and gas.",course be oil gas 
10,"Lifting heavy weights is the best way to promote the release of muscle-building, fat-burning testosterone, Gilles said.",way promote release muscle-building testosterone 
11,"Try taking deep breaths, giving yourself small breaks, or going for a walk to manage your stress levels, she recommended.",Try walk manage stress 
12,"Terrier can destroy enemy runways, rip holes in concrete compounds where terrorists hide, and dismantle bridges.",destroy enemy rip 
13,"As people pay closer attention to food labels, companies across the food and drink industry have adjusted recipes to remove ingredients that may sound unappetizing.",attention food food drink industry remove sound unappetizing 
14,"Pumpkin seeds Next Halloween, salvage those seeds from your jack o' lantern, as they're proven to help you clock more snooze time.",salvage jack o help clock time 
15,All of these subs can perform a range of missions from surveillance through to striking a target from a great distance with Tomahawk cruise missiles.,perform range surveillance target distance cruise 
16,It has already produced lots of astonishing advances to help keep secret data and advanced tech out of the wrong hands.,help keep 
17,The pod will also need to send back health status information and the military will need to be able to communicate with it from a great distance.,pod need send health status information military need be communicate distance 
18,An expert at the Incident Review Center receives the data to verify it is gunfire.,expert verify gunfire 
19,"While surgery remains more effective for lasting weight loss than alternatives such as dieting and exercising, said lead study author Dr. Andrei Keidar, the study findings suggest that doctors still have more to learn about which patients will get the most benefit from operations and what strategies can make the initial results stick.",surgery weight loss dieting exercising lead study author study learn get benefit make stick 
20,"Not wanting to acknowledge the news, she left the office and didn't return.",acknowledge news office return 
21,"To smash skydiving world records, the team headed to Nepal, the landlocked country sandwiched between India and China.",smash world team country 
22,The impact on the brain can be dramatic and definitely impair performance in insidious ways.,impact brain be performance 
23,"Even now, the Commerce Department has been trying to fine-tune those rules.",
24,An artist's concept of one type of implantable sensor to be used as a novel interface technology to control an artifical limb.,artist concept type sensor be interface technology control limb 
25,"To treat the man, the doctors drained the pus from his liver using a special needle and gave him antibiotics.",treat man pus liver 
26,Don't forget protection for children and teenagers.,forget protection 
27,Smaller ducted fans on the wingtips provide forward thrust and enhanced lift and control in hover mode.,thrust lift control hover mode 
28,"For women, the No Fly Zone Pants and No Fly Zone Hoodie offer permethrin protection.",protection 
29,"A nightcap will help me drift off Although alcohol will make you sleep more quickly, it also has significant negative effect on sleep quantity and quality.",nightcap help drift alcohol make sleep effect quantity quality 
30,"Our reason was, we're not too good to do Maxim.",reason do 
31,"For example, the system gathers, collates and displays data on friendly and enemy forces to help a commander rapidly identify and distinguish them.",example system help commander identify distinguish 
32,It says the others were left behind to make room for mineral samples.,make room 
33,"But the chemicals have been shown in previous lab and animal studies to mimic the activity of the hormone estrogen, meaning they can bind to receptors in the body to which estrogen normally binds.This is a concern because when estrogen binds to estrogen receptors, it causes cells to multiply, and in women this increases breast cancer risk, said Dr. Dale Leitman, an adjunct professor of nutritional sciences and toxicology at the University of California, Berkeley, and the senior author on the study.",lab animal mimic activity hormone estrogen bind body estrogen binds.This concern estrogen estrogen multiply breast cancer risk adjunct professor toxicology author study 
34,"These new bullets have something known as supercavitation, which helps keep the bullet protected from the water's density.",something supercavitation keep bullet water density 
35,The detectors do not emit radiation and only detect it.,emit radiation detect 
36,"Dr. Katz is more skeptical: ""It can cause atrophy of the stomach lining or even rupturing of the stomach,"" he says.",cause atrophy stomach lining rupturing stomach 
37,"Terrier's all in one, streamlined approach means the military can reduce the massive equipment they need downrange and just bring one vehicle to do the jobs of several.",approach reduce equipment downrange bring vehicle do 
38,"Off-roading is no problem for Terrier, and it can even execute missions that require travelling through water and braving six-foot waves.",problem execute water 
39,"Almonds Vitamin E is another essential nutrient that can help prevent cataracts and age-related degeneration, Blake said, noting that good sources include wheat germ, peanut butter and almonds.",nutrient help prevent degeneration peanut butter 
40,"Luckily, you can improve your sleep by simply changing up your diet.",improve sleep diet 
41,"In addition to the U.S., more than 20 allied countries rely on MRZRs to meet mission demands.",addition meet mission 
42,So it doesn't really come as a surprise that a new study from the U.K. finds that greatly reducing the amount of added sugar you eat can significantly lower your risk of dental decay.,come surprise study amount sugar lower risk decay 
43,With the Creed you get a whole lot of gun in a lower price point range.,lot gun price point range 
44,"Risks involved with thyroid surgery include accidental damage to the nerves connected to your vocal cords, which can cause vocal cord paralysis, hoarseness, soft voice, or difficulty breathing.",surgery damage cause cord paralysis hoarseness voice difficulty breathing 
45,It's no secret that most women wear makeup every day.,day 
46,"Magistrate Judge Sheri Pym on Tuesday vacated her Feb. 16 order, which compelled Apple to assist the FBI in hacking their phone.",order assist phone 
47,Aim to wear protective clothes like long-sleeved shirts and long pants.,wear 
48,It took four minutes for the extreme heat to reach the other side of the regular stainless steel from the fire.,heat reach side stainless steel fire 
49,"Taking the time to examine your role in choosing incorrect past partners can help you prepare for a future healthy relationship, Essel said.",time examine role help prepare relationship 
50,"The doctors were not certified to practice in the U.S.
Lourentzatos had a mammogram and sonogram and her doctor recommended she remove her breasts in order to rid her body of the silicone.",practice mammogram sonogram doctor remove order rid body silicone 
51,So the seven competing teams had to successfully tackle the monumental task of creating and training machines to do just that.,tackle task do 
52,"It isn't a magic bullet, he warns, but should be considered just a tool to supplement weight loss efforts.",bullet be tool supplement loss 
53,"No, but I don't hate it or myself for it, either.",hate 
54,That's the reason why every woman should do a breast self-examination at least once a month.,reason woman do breast self-examination month 
55,The next-gen jet is designed to strike highly-defended targets anywhere on Earth and provide the U.S. military with an aircraft that can fly into enemy space and attack with precision weapons at long ranges without ever being detected.,jet strike provide aircraft fly space attack precision 
56,"I laugh, agree, and excuse myself to head to the ladies' room or order another cup of coffee.",excuse head room order cup coffee 
