,question_output,sentence_input
0,"Why From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
1,"Do you know why From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
2,"What From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
3,"How From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
4,"When From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
5,"Where From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
6,"Why Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
7,"Do you know why Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
8,"What Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
9,"How Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
10,"When Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
